,time,latitude,longitude,2m_temperature,diff
6579,1990-10-02 03:00:00,40.25,271.75,285.69174,-2.5503845
6582,1990-10-02 06:00:00,40.25,271.75,282.41843,-2.571106
6622,1990-10-03 22:00:00,40.25,271.75,291.6158,-4.811249
6628,1990-10-04 04:00:00,40.25,271.75,287.66605,-5.0375366
6629,1990-10-04 05:00:00,40.25,271.75,285.576,-2.5543213
6646,1990-10-04 22:00:00,40.25,271.75,292.1886,-2.7375793
6651,1990-10-05 03:00:00,40.25,271.75,287.84323,-2.8593445
6671,1990-10-05 23:00:00,40.25,271.75,295.9423,-2.797058
6672,1990-10-06 00:00:00,40.25,271.75,294.4048,-2.7860413
6694,1990-10-06 22:00:00,40.25,271.75,295.62537,-3.313324
6705,1990-10-07 09:00:00,40.25,271.75,290.4331,-2.538208
6706,1990-10-07 10:00:00,40.25,271.75,288.60443,-2.661621
6714,1990-10-07 18:00:00,40.25,271.75,289.6696,-2.832489
6718,1990-10-07 22:00:00,40.25,271.75,288.59238,-4.426544
6719,1990-10-07 23:00:00,40.25,271.75,286.98434,-4.5809326
6720,1990-10-08 00:00:00,40.25,271.75,285.74585,-3.7305908
6721,1990-10-08 01:00:00,40.25,271.75,284.8973,-2.791565
6742,1990-10-08 22:00:00,40.25,271.75,285.63525,-2.839203
6743,1990-10-08 23:00:00,40.25,271.75,284.7867,-3.287262
6814,1990-10-11 22:00:00,40.25,271.75,283.74487,-2.899231
6815,1990-10-11 23:00:00,40.25,271.75,283.30695,-2.9000854
6838,1990-10-12 22:00:00,40.25,271.75,286.2948,-2.6225586
6839,1990-10-12 23:00:00,40.25,271.75,285.36136,-2.8372803
6850,1990-10-13 10:00:00,40.25,271.75,274.726,-2.798645
6862,1990-10-13 22:00:00,40.25,271.75,287.47125,-2.8464355
6863,1990-10-13 23:00:00,40.25,271.75,286.1894,-3.5895386
6886,1990-10-14 22:00:00,40.25,271.75,289.7307,-3.8162231
6887,1990-10-14 23:00:00,40.25,271.75,288.96234,-3.8453064
6888,1990-10-15 00:00:00,40.25,271.75,287.80823,-3.0415955
6891,1990-10-15 03:00:00,40.25,271.75,284.85016,-2.7824097
6892,1990-10-15 04:00:00,40.25,271.75,284.03064,-2.5354004
6893,1990-10-15 05:00:00,40.25,271.75,282.3544,-2.699524
6898,1990-10-15 10:00:00,40.25,271.75,277.34836,-3.6244812
6899,1990-10-15 11:00:00,40.25,271.75,277.35483,-2.9729614
6910,1990-10-15 22:00:00,40.25,271.75,286.19342,-2.968933
6911,1990-10-15 23:00:00,40.25,271.75,285.67133,-2.818634
6958,1990-10-17 22:00:00,40.25,271.75,293.27664,-4.0723877
6963,1990-10-18 03:00:00,40.25,271.75,288.08398,-3.5692444
6964,1990-10-18 04:00:00,40.25,271.75,286.87967,-2.568634
6965,1990-10-18 05:00:00,40.25,271.75,284.23297,-3.0761719
6966,1990-10-18 06:00:00,40.25,271.75,283.64774,-3.2207336
6968,1990-10-18 08:00:00,40.25,271.75,279.47107,-4.378418
6982,1990-10-18 22:00:00,40.25,271.75,280.09167,-2.6316223
6983,1990-10-18 23:00:00,40.25,271.75,279.7107,-2.8289795
6987,1990-10-19 03:00:00,40.25,271.75,276.98178,-2.495697
6989,1990-10-19 05:00:00,40.25,271.75,275.3137,-2.929779
6990,1990-10-19 06:00:00,40.25,271.75,274.6148,-2.8702087
6994,1990-10-19 10:00:00,40.25,271.75,270.98682,-2.89859
7006,1990-10-19 22:00:00,40.25,271.75,281.83087,-2.71875
7030,1990-10-20 22:00:00,40.25,271.75,288.21973,-2.508728
7054,1990-10-21 22:00:00,40.25,271.75,280.4887,-3.8103943
7055,1990-10-21 23:00:00,40.25,271.75,280.94778,-2.7487183
7066,1990-10-22 10:00:00,40.25,271.75,275.9189,-3.1274414
7067,1990-10-22 11:00:00,40.25,271.75,275.3851,-3.1695251
7078,1990-10-22 22:00:00,40.25,271.75,282.49448,-3.2130737
7079,1990-10-22 23:00:00,40.25,271.75,281.43152,-3.63443
7102,1990-10-23 22:00:00,40.25,271.75,284.3178,-3.3496094
7103,1990-10-23 23:00:00,40.25,271.75,283.0351,-3.8198242
7126,1990-10-24 22:00:00,40.25,271.75,281.82,-3.4341125
7138,1990-10-25 10:00:00,40.25,271.75,273.04855,-2.7470703
7150,1990-10-25 22:00:00,40.25,271.75,279.6197,-3.4840698
